case_id,astra_risk_score,behavioral_score,iforest_score,graph_score,astra_predicted_anomaly,scade_composite_score,cf_score,time_score,resource_score,amount_score,security_score,scade_flagged,attack_type,is_ground_truth_anomaly
PO00000,0.2739092380886487,0.2781390695347674,0.3265246796878661,0.0,False,,,,,,,,,
PO00001,0.3157464102077618,0.2536268134067034,0.6276315007636716,0.0,False,0.6729,0.9,0.6729,1.0,1.0,1.0,True,unknown,False
PO00002,0.0246126565892568,0.0,0.1230632829462842,0.0,False,0.5896,0.9,0.5896,1.0,1.0,1.0,True,unknown,False
PO00003,0.013472861198626,0.0,0.0673643059931304,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,False,unknown,False
PO00004,0.0139538227039219,0.0,0.0697691135196096,0.0,False,0.8447,0.9,0.8447,1.0,1.0,1.0,True,unknown,False
PO00005,0.0036324349680432,0.0,0.0181621748402164,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,False,unknown,False
PO00006,0.0100352031004159,0.0,0.0501760155020798,0.0,False,0.9868,1.0,0.9868,1.0,1.0,1.0,False,unknown,False
PO00007,0.8614437219426465,1.0,0.5572186097132322,0.0,True,0.8347,0.9,0.8347,1.0,1.0,1.0,True,unknown,False
PO00008,0.0713646711221004,0.0015007503751875,0.3511955417035485,0.0,False,0.9,0.9,1.0,1.0,1.0,1.0,False,unknown,False
PO00009,0.0541391271947493,0.0,0.2706956359737465,0.0,False,0.5085,0.9,0.5085,1.0,1.0,1.0,True,unknown,False
PO00010,0.0040166116612119,0.0,0.0200830583060599,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,False,unknown,False
PO00011,0.0440504540716877,0.0,0.2202522703584387,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,False,unknown,False
PO00012,0.1082826746121754,0.017008504252126,0.4776314821154042,0.0,False,0.9924,1.0,0.9924,1.0,1.0,1.0,False,unknown,False
PO00013,0.2865853671108324,0.2781390695347674,0.3899053247987841,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,False,unknown,False
PO00014,0.003875239201299,0.0,0.019376196006495,0.0,False,0.4357,1.0,0.4357,1.0,1.0,1.0,True,unknown,False
PO00015,0.2812750434443948,0.2781390695347674,0.3633537064665963,0.0,False,0.2958,1.0,0.2958,1.0,1.0,1.0,True,unknown,False
PO00016,0.0063826802381518,0.0,0.031913401190759,0.0,False,0.6713,0.9,0.6713,1.0,1.0,1.0,True,unknown,False
PO00017,0.0118292227884588,0.0,0.0591461139422943,0.0,False,0.2933,1.0,0.2933,1.0,1.0,1.0,True,unknown,False
PO00018,0.0029704359363193,0.0,0.0148521796815969,0.0,False,0.8348,0.9,0.8348,1.0,1.0,1.0,True,unknown,False
PO00019,0.317313957727063,0.2781390695347674,0.5435482778799371,0.0,False,0.2986,1.0,0.2986,1.0,1.0,1.0,True,unknown,False
PO00020,0.0216520149857434,0.0,0.1082600749287173,0.0,False,0.8348,0.9,0.8348,1.0,1.0,1.0,True,unknown,False
PO00021,0.0008541058943857,0.0,0.0042705294719287,0.0,False,0.15,0.6667,0.9874,1.0,1.0,0.15,True,unknown,False
PO00022,0.0297988118370662,0.0,0.1489940591853311,0.0,False,0.15,0.6667,0.9874,1.0,1.0,0.15,True,unknown,False
PO00023,0.0165725474949675,0.0,0.0828627374748375,0.0,False,0.25,0.8571,1.0,1.0,1.0,0.25,True,unknown,False
PO00024,0.1399965682303904,0.017008504252126,0.6362009502064794,0.0,False,0.25,0.8571,1.0,1.0,1.0,0.25,True,unknown,False
PO00025,0.0297351877599296,0.0,0.1486759387996482,0.0,False,0.0,0.9167,0.7196,1.0,0.0,0.65,True,unknown,False
PO00026,0.0351955133469367,0.0,0.1759775667346839,0.0,False,0.0,0.9167,0.4756,1.0,0.0,0.65,True,unknown,False
PO00027,0.3035207882133086,0.2781390695347674,0.4745824303111653,0.0,False,0.7,0.875,0.8013,1.0,1.0,0.7,True,unknown,False
PO00028,0.0155796962505916,0.0,0.0778984812529581,0.0,False,0.5097,0.875,0.5097,1.0,1.0,0.7,True,unknown,False
PO00029,0.0634492055845306,0.0,0.317246027922653,0.0,False,,,,,,,,,
PO00030,0.0727206236602714,0.0,0.3636031183013571,0.0,False,,,,,,,,,
PO00031,0.0013371659613699,0.0,0.0066858298068497,0.0,False,,,,,,,,,
PO00032,0.1001597659765519,0.0015007503751875,0.495171015975806,0.0,False,,,,,,,,,
PO00033,0.0252136659843939,0.0,0.1260683299219697,0.0,False,,,,,,,,,
PO00034,0.3281065599579633,0.2536268134067034,0.6894322495146792,0.0,False,,,,,,,,,
PO00035,0.0177178865593783,0.0,0.0885894327968916,0.0,False,,,,,,,,,
PO00036,0.0097863151354794,0.0,0.048931575677397,0.0,False,,,,,,,,,
PO00037,0.0102395493687788,0.0,0.0511977468438941,0.0,False,,,,,,,,,
PO00038,0.3535115015738068,0.2536268134067034,0.8164569575938961,0.0,False,,,,,,,,,
PO00039,0.2841460917297324,0.2781390695347674,0.377708947893284,0.0,False,,,,,,,,,
PO00040,0.3117476015315275,0.2781390695347674,0.5157164969022598,0.0,False,,,,,,,,,
PO00041,0.3109246064856311,0.2781390695347674,0.5116015216727778,0.0,False,,,,,,,,,
PO00042,0.0118284763218875,0.0,0.0591423816094377,0.0,False,,,,,,,,,
PO00043,0.0315209810645344,0.0,0.1576049053226721,0.0,False,,,,,,,,,
PO00044,0.3156780558558916,0.2536268134067034,0.6272897290043203,0.0,False,,,,,,,,,
PO00045,0.0084794802523998,0.0,0.0423974012619993,0.0,False,,,,,,,,,
PO00046,0.0402878771474267,0.0,0.2014393857371338,0.0,False,,,,,,,,,
PO00047,0.0653465639651303,0.0,0.3267328198256519,0.0,False,,,,,,,,,
PO00048,0.0238225241098989,0.0,0.1191126205494947,0.0,False,,,,,,,,,
PO00049,0.0222363538643693,0.0,0.1111817693218467,0.0,False,,,,,,,,,
PO00050,0.0097654899162291,0.0,0.0488274495811456,0.0,False,,,,,,,,,
PO00051,0.0050956660680719,0.0,0.0254783303403598,0.0,False,,,,,,,,,
PO00052,0.0300185141913671,0.0,0.1500925709568355,0.0,False,,,,,,,,,
PO00053,0.0772876367697984,0.0015007503751875,0.3808103699420388,0.0,False,,,,,,,,,
PO00054,0.026280473234407,0.0,0.1314023661720353,0.0,False,,,,,,,,,
PO00055,0.8597857538319232,1.0,0.548928769159616,0.0,True,,,,,,,,,
PO00056,0.0183634392959801,0.0,0.0918171964799007,0.0,False,,,,,,,,,
PO00057,0.0185790086356231,0.0,0.0928950431781155,0.0,False,,,,,,,,,
PO00058,0.8819356954265317,1.0,0.6596784771326585,0.0,True,,,,,,,,,
PO00059,0.0163009167024798,0.0,0.0815045835123992,0.0,False,,,,,,,,,
PO00060,0.0167939297313386,0.0,0.083969648656693,0.0,False,,,,,,,,,
PO00061,0.0,0.0,0.0,0.0,False,,,,,,,,,
PO00062,0.8679000312911866,1.0,0.5895001564559331,0.0,True,,,,,,,,,
PO00063,0.0108797789569905,0.0,0.0543988947849526,0.0,False,,,,,,,,,
PO00064,0.3237130369250204,0.2536268134067034,0.6674646343499642,0.0,False,,,,,,,,,
PO00065,0.3363488361315319,0.2536268134067034,0.7306436303825216,0.0,False,,,,,,,,,
PO00066,0.0915841728549673,0.017008504252126,0.3941389733293641,0.0,False,,,,,,,,,
PO00067,0.0169597203151472,0.0,0.084798601575736,0.0,False,,,,,,,,,
PO00068,0.0031021475406786,0.0,0.0155107377033932,0.0,False,,,,,,,,,
PO00069,0.0255441337697188,0.0,0.1277206688485942,0.0,False,,,,,,,,,
PO00070,0.0025255749878028,0.0,0.0126278749390143,0.0,False,,,,,,,,,
PO00071,0.1072685817079706,0.017008504252126,0.4725610175943807,0.0,False,,,,,,,,,
PO00072,0.3236422734305171,0.2536268134067034,0.6671108168774478,0.0,False,,,,,,,,,
PO00073,0.0119852117024081,0.0,0.0599260585120405,0.0,False,,,,,,,,,
PO00074,0.0476292137106672,0.0,0.238146068553336,0.0,False,,,,,,,,,
PO00075,0.003907472260947,0.0,0.0195373613047352,0.0,False,,,,,,,,,
PO00076,0.0033627377896964,0.0,0.0168136889484824,0.0,False,,,,,,,,,
PO00077,0.1202639125091206,0.017008504252126,0.5375376716001307,0.0,False,,,,,,,,,
PO00078,0.3037548975204283,0.2781390695347674,0.4757529768467639,0.0,False,,,,,,,,,
PO00079,0.0119533890435606,0.0,0.0597669452178034,0.0,False,,,,,,,,,
PO00080,0.0057086297583001,0.0,0.0285431487915009,0.0,False,,,,,,,,,
PO00081,0.008210565320703,0.0,0.0410528266035151,0.0,False,,,,,,,,,
PO00082,0.2858495639010678,0.2781390695347674,0.3862263087499614,0.0,False,,,,,,,,,
PO00083,0.0075763034500409,0.0,0.0378815172502045,0.0,False,,,,,,,,,
PO00084,0.0380740948407458,0.0,0.1903704742037293,0.0,False,,,,,,,,,
PO00085,0.0170801842697249,0.0,0.0854009213486247,0.0,False,,,,,,,,,
PO00086,0.0250733019026229,0.0,0.1253665095131146,0.0,False,,,,,,,,,
PO00087,0.8769979292515244,1.0,0.6349896462576219,0.0,True,,,,,,,,,
PO00088,0.0233565937590939,0.0,0.1167829687954698,0.0,False,,,,,,,,,
PO00089,0.0127470680004769,0.0,0.0637353400023849,0.0,False,,,,,,,,,
PO00090,0.0370270822321988,0.0,0.1851354111609944,0.0,False,,,,,,,,,
PO00091,0.0203394207353523,0.0,0.1016971036767619,0.0,False,,,,,,,,,
PO00092,0.0531607250725257,0.0,0.2658036253626287,0.0,False,,,,,,,,,
PO00093,0.0131274961903407,0.0,0.0656374809517036,0.0,False,,,,,,,,,
PO00094,0.1255064227334469,0.017008504252126,0.5637502227217618,0.0,False,,,,,,,,,
PO00095,0.0114462040534045,0.0,0.0572310202670225,0.0,False,,,,,,,,,
